Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:00 AM,68.3,39.0,42,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:05 AM,68.3,39.0,42,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:10 AM,68.3,39.0,42,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:15 AM,68.3,39.0,42,67,,,30.04,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:20 AM,68.1,37.0,41,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:25 AM,68.1,37.0,41,66,,,30.04,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:30 AM,68.1,37.0,41,66,,,30.04,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:35 AM,68.1,37.0,41,66,,,30.04,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:40 AM,68.0,37.0,41,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:45 AM,68.0,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:50 AM,68.0,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 12:55 AM,68.0,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:00 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:05 AM,67.6,39.0,42,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:10 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:15 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:20 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:25 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:30 AM,67.4,39.0,42,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:35 AM,67.4,39.0,42,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:40 AM,68.1,39.0,42,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:45 AM,68.9,39.0,43,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:50 AM,68.9,39.0,43,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 1:55 AM,68.9,39.0,43,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:00 AM,68.9,39.0,43,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:05 AM,68.7,39.0,43,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:10 AM,68.7,39.0,43,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:15 AM,68.5,39.0,43,67,,,30.01,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:20 AM,68.5,39.0,43,67,,,30.01,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:25 AM,68.3,39.0,42,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:30 AM,68.3,39.0,42,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:35 AM,68.3,37.0,41,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:40 AM,68.1,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:45 AM,68.1,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:50 AM,68.0,37.0,41,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 2:55 AM,68.0,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:00 AM,68.0,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:05 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:10 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:15 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:20 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:25 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:30 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:35 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:40 AM,68.1,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:45 AM,68.7,39.0,43,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:50 AM,69.0,39.0,43,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 3:55 AM,68.9,39.0,43,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:00 AM,68.9,39.0,43,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:05 AM,68.7,39.0,43,67,,,30.0,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:10 AM,68.7,39.0,43,67,,,30.04,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:15 AM,68.5,39.0,43,67,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:20 AM,68.5,37.0,41,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:25 AM,68.3,37.0,41,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:30 AM,68.3,37.0,41,67,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:35 AM,68.1,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:40 AM,68.1,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:45 AM,68.1,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:50 AM,68.0,37.0,41,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 4:55 AM,68.0,37.0,41,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:00 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:05 AM,67.6,39.0,42,66,,,30.03,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:10 AM,67.6,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:15 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:20 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:25 AM,67.4,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:30 AM,68.1,39.0,42,66,,,30.02,,,,,,,,,,,,,
Rob's Office,Temp & Humidity Sensor,2017/11/10 5:35 AM,68.7,39.0,43,67,,,30.02,,,,,,,,,,,,,
